Date,Event_ID,Winner,Loser,W_KD,L_KD,W_STR,L_STR,W_TD,L_TD,W_SUB,L_SUB,Weight class,Method,Round,Time,W/L
"UFC Fight Night: Kattar vs. Allen  October 29, 2022",be5aab761c40ef35,Calvin Kattar,Arnold Allen,nan,nan,nan,nan,View Matchup,nan,nan,nan,Featherweight,,,,
"UFC Fight Night: Kattar vs. Allen  October 29, 2022",be5aab761c40ef35,Tim Means,Max Griffin,nan,nan,nan,nan,View Matchup,nan,nan,nan,Welterweight,,,,
"UFC Fight Night: Kattar vs. Allen  October 29, 2022",be5aab761c40ef35,Waldo Cortes-Acosta,Jared Vanderaa,nan,nan,nan,nan,View Matchup,nan,nan,nan,Heavyweight,,,,
"UFC Fight Night: Kattar vs. Allen  October 29, 2022",be5aab761c40ef35,Josh Fremd,Tresean Gore,nan,nan,nan,nan,View Matchup,nan,nan,nan,Middleweight,,,,
"UFC Fight Night: Kattar vs. Allen  October 29, 2022",be5aab761c40ef35,Dustin Jacoby,Khalil Rountree Jr.,nan,nan,nan,nan,View Matchup,nan,nan,nan,Light Heavyweight,,,,
"UFC Fight Night: Kattar vs. Allen  October 29, 2022",be5aab761c40ef35,Phil Hawes,Roman Dolidze,nan,nan,nan,nan,View Matchup,nan,nan,nan,Middleweight,,,,
"UFC Fight Night: Kattar vs. Allen  October 29, 2022",be5aab761c40ef35,Andrei Arlovski,Marcos Rogerio de Lima,nan,nan,nan,nan,View Matchup,nan,nan,nan,Heavyweight,,,,
"UFC Fight Night: Kattar vs. Allen  October 29, 2022",be5aab761c40ef35,Joseph Holmes,Junyong Park,nan,nan,nan,nan,View Matchup,nan,nan,nan,Middleweight,,,,
"UFC Fight Night: Kattar vs. Allen  October 29, 2022",be5aab761c40ef35,Chase Hooper,Steve Garcia,nan,nan,nan,nan,View Matchup,nan,nan,nan,Featherweight,,,,
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Islam Makhachev,Charles Oliveira,1,0,30,19,2,0,1,0,Lightweight,SUB  Arm Triangle,2.0,3:16,win
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Aljamain Sterling,TJ Dillashaw,0,0,72,8,5,0,2,0,Bantamweight,KO/TKO  Punches,2.0,3:44,win
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Sean O'Malley,Petr Yan,0,0,84,58,0,6,0,0,Bantamweight,S-DEC,3.0,5:00,win
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Beneil Dariush,Mateusz Gamrot,1,0,59,33,0,4,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Belal Muhammad,Sean Brady,0,0,80,58,0,0,0,0,Welterweight,KO/TKO  Punches,2.0,4:47,win
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Caio Borralho,Makhmud Muradov,0,0,19,14,1,2,2,0,Middleweight,U-DEC,3.0,5:00,win
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Nikita Krylov,Volkan Oezdemir,0,0,57,42,7,1,1,0,Light Heavyweight,U-DEC,3.0,5:00,win
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Abubakar Nurmagomedov,Gadzhi Omargadzhiev,0,0,40,38,1,1,0,0,Welterweight,U-DEC,3.0,5:00,win
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Armen Petrosyan,AJ Dobson,0,0,118,58,0,3,0,0,Middleweight,U-DEC,3.0,5:00,win
"UFC 280: Oliveira vs. Makhachev  October 22, 2022",885e7f70dcac0007,Muhammad Mokaev,Malcolm Gordon,0,0,21,17,6,1,1,1,Flyweight,SUB  Armbar,3.0,4:26,win
"UFC Fight Night: Grasso vs. Araujo  October 15, 2022",49c29e57d4e2be6f,Jonathan Martinez,Cub Swanson,2,0,62,51,0,1,0,0,Bantamweight,KO/TKO  Kick,2.0,4:19,win
"UFC Fight Night: Grasso vs. Araujo  October 15, 2022",49c29e57d4e2be6f,Dusko Todorovic,Jordan Wright,0,0,61,25,0,3,0,1,Middleweight,KO/TKO  Elbows,2.0,3:12,win
"UFC Fight Night: Grasso vs. Araujo  October 15, 2022",49c29e57d4e2be6f,Raphael Assuncao,Victor Henry,0,0,60,55,2,0,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Grasso vs. Araujo  October 15, 2022",49c29e57d4e2be6f,Alonzo Menifield,Misha Cirkunov,1,0,8,5,0,0,0,0,Light Heavyweight,KO/TKO  Punch,1.0,1:28,win
"UFC Fight Night: Grasso vs. Araujo  October 15, 2022",49c29e57d4e2be6f,Mana Martinez,Brandon Davis,2,0,87,76,1,1,0,0,Bantamweight,S-DEC,3.0,5:00,win
"UFC Fight Night: Grasso vs. Araujo  October 15, 2022",49c29e57d4e2be6f,Jacob Malkoun,Nick Maximov,0,0,83,34,9,0,0,0,Middleweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Grasso vs. Araujo  October 15, 2022",49c29e57d4e2be6f,Joanderson Brito,Lucas Alexander,0,0,4,1,2,0,1,0,Featherweight,SUB  Rear Naked Choke,1.0,2:02,win
"UFC Fight Night: Grasso vs. Araujo  October 15, 2022",49c29e57d4e2be6f,Tatsuro Taira,CJ Vergara,0,0,22,19,3,0,2,0,Flyweight,SUB  Armbar,2.0,4:19,win
"UFC Fight Night: Grasso vs. Araujo  October 15, 2022",49c29e57d4e2be6f,Pete Rodriguez,Mike Jackson,1,0,22,10,0,0,0,0,Welterweight,KO/TKO  Knee,1.0,1:33,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Randy Brown,Francisco Trinaldo,1,0,60,40,0,1,1,0,Welterweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Raoni Barcelos,Trevin Jones,1,0,73,11,2,0,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Sodiq Yusuff,Don Shainis,0,0,9,3,0,0,1,0,Featherweight,SUB  Guillotine Choke,1.0,0:30,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Mike Davis,Viacheslav Borshchev,0,0,65,63,9,0,1,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Daniel Santos,John Castaneda,1,1,69,57,2,3,0,0,Catch Weight,KO/TKO  Knee,2.0,4:28,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Ilir Latifi,Aleksei Oleinik,0,0,38,28,3,0,0,0,Heavyweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Joaquim Silva,Jesse Ronson,1,0,45,39,0,0,0,0,Lightweight,KO/TKO  Flying Knee,2.0,3:08,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Brendan Allen,Krzysztof Jotko,0,0,3,3,1,0,1,0,Middleweight,SUB  Rear Naked Choke,1.0,4:17,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Chelsea Chandler,Julija Stoliarenko,0,0,38,12,0,1,0,0,Catch Weight,KO/TKO  Punches,1.0,4:15,win
"UFC Fight Night: Dern vs. Yan  October 01, 2022",4f670b7972fa0a2e,Guido Cannetti,Randy Costa,0,0,8,2,1,0,1,0,Bantamweight,SUB  Rear Naked Choke,1.0,1:04,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Cory Sandhagen,Song Yadong,0,0,94,54,1,2,0,0,Bantamweight,KO/TKO,4.0,5:00,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Gregory Rodrigues,Chidi Njokuani,1,0,48,44,1,0,0,0,Middleweight,KO/TKO  Punches,2.0,1:27,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Andre Fili,Bill Algeo,0,0,59,81,1,0,2,0,Featherweight,S-DEC,3.0,5:00,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Joe Pyfer,Alen Amedovski,1,0,14,11,0,0,0,0,Middleweight,KO/TKO  Punch,1.0,3:55,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Rodrigo Nascimento,Tanner Boser,0,0,36,62,3,0,1,0,Heavyweight,S-DEC,3.0,5:00,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Anthony Hernandez,Marc-Andre Barriault,0,0,39,25,8,0,2,0,Middleweight,SUB  Arm Triangle,3.0,1:53,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Damon Jackson,Pat Sabatini,0,0,11,1,1,0,0,0,Featherweight,KO/TKO  Punches,1.0,1:09,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Trevin Giles,Louis Cosce,0,0,25,10,2,1,0,1,Welterweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Trey Ogden,Daniel Zellhuber,0,0,71,52,1,0,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Javid Basharat,Tony Gravely,0,0,80,33,2,2,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Sandhagen vs. Song  September 17, 2022",8d477c3fbe001f9d,Nikolas Motta,Cameron VanCamp,1,0,24,15,0,0,0,0,Lightweight,KO/TKO  Punch,1.0,3:49,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Nate Diaz,Tony Ferguson,0,0,101,80,0,1,1,0,Welterweight,SUB  Guillotine Choke,4.0,2:52,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Khamzat Chimaev,Kevin Holland,0,0,0,0,2,0,2,0,Catch Weight,SUB  D'Arce Choke,1.0,2:13,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Daniel Rodriguez,Li Jingliang,0,0,88,78,0,1,0,0,Catch Weight,S-DEC,3.0,5:00,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Irene Aldana,Macy Chiasson,1,0,37,39,0,3,2,0,Catch Weight,KO/TKO  Kick,3.0,2:21,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Johnny Walker,Ion Cutelaba,0,0,3,3,1,1,3,0,Light Heavyweight,SUB  Rear Naked Choke,1.0,4:37,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Julian Erosa,Hakeem Dawodu,0,0,92,74,2,0,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Jailton Almeida,Anton Turkalj,0,0,17,1,3,0,2,0,Catch Weight,SUB  Rear Naked Choke,1.0,4:27,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Denis Tiuliulin,Jamie Pickett,2,0,73,60,0,0,0,0,Middleweight,KO/TKO  Punches,2.0,4:52,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Chris Barnett,Jake Collier,0,1,54,51,0,1,0,1,Heavyweight,KO/TKO  Punches,2.0,2:24,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Alatengheili,Chad Anheliger,0,0,49,39,2,0,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC 279: Diaz vs. Ferguson  September 10, 2022",93bf96be327fcd98,Yohan Lainesse,Darian Weeks,0,0,23,44,0,1,0,0,Welterweight,S-DEC,3.0,5:00,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Ciryl Gane,Tai Tuivasa,1,1,110,29,0,0,0,0,Heavyweight,KO/TKO  Punches,3.0,4:23,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Robert Whittaker,Marvin Vettori,0,0,74,33,1,0,0,0,Middleweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Nassourdine Imavov,Joaquin Buckley,0,0,51,46,2,0,2,0,Middleweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Roman Kopylov,Alessio Di Chirico,1,0,59,39,0,0,0,0,Middleweight,KO/TKO  Punches,3.0,1:09,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,William Gomis,Jarno Errens,0,0,32,20,3,0,0,1,Featherweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Nathaniel Wood,Charles Jourdain,0,0,97,86,5,1,0,0,Featherweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Abus Magomedov,Dustin Stoltzfus,1,0,7,0,0,0,0,0,Middleweight,KO/TKO  Punches,1.0,0:19,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Nasrat Haqparast,John Makdessi,1,0,64,73,2,0,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Fares Ziam,Michal Figlak,0,0,60,28,3,1,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Benoit Saint Denis,Gabriel Miranda,3,0,42,20,1,1,0,0,Lightweight,KO/TKO  Punch,2.0,0:16,win
"UFC Fight Night: Gane vs. Tuivasa  September 03, 2022",00a905a4a4a2b071,Cristian Quinonez,Khalid Taha,0,0,19,6,0,0,0,0,Bantamweight,KO/TKO  Punches,1.0,3:15,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Leon Edwards,Kamaru Usman,1,0,55,83,1,5,1,0,Welterweight,KO/TKO  Kick,5.0,4:04,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Paulo Costa,Luke Rockhold,0,0,73,51,2,1,0,0,Middleweight,U-DEC,3.0,5:00,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Merab Dvalishvili,Jose Aldo,0,0,57,38,0,0,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Tyson Pedro,Harry Hunsucker,1,0,6,2,0,0,0,0,Light Heavyweight,KO/TKO  Kick,1.0,1:05,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Marcin Tybura,Alexandr Romanov,0,0,47,40,0,2,0,0,Heavyweight,M-DEC,3.0,5:00,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Jared Gordon,Leonardo Santos,0,0,116,36,0,0,0,0,Lightweight,U-DEC,3.0,5:00,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Sean Woodson,Luis Saldana,0,2,73,91,0,1,1,0,Featherweight,S-DEC,3.0,5:00,draw  draw
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Ange Loosa,AJ Fletcher,0,0,129,87,2,0,0,0,Welterweight,U-DEC,3.0,5:00,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Amir Albazi,Francisco Figueiredo,0,0,12,11,2,0,1,0,Flyweight,SUB  Rear Naked Choke,1.0,4:34,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Aoriqileng,Jay Perrin,0,0,72,88,0,3,0,0,Bantamweight,U-DEC,3.0,5:00,win
"UFC 278: Usman vs. Edwards  August 20, 2022",4f853e98886283cf,Victor Altamirano,Daniel Da Silva,1,1,58,22,0,0,0,0,Flyweight,KO/TKO  Punches,1.0,3:39,win
"UFC Fight Night: Vera vs. Cruz  August 13, 2022",a23e63184c65f5b8,Marlon Vera,Dominick Cruz,3,0,61,92,0,2,0,0,Bantamweight,KO/TKO  Kick,4.0,2:17,win
"UFC Fight Night: Vera vs. Cruz  August 13, 2022",a23e63184c65f5b8,Nate Landwehr,David Onama,0,1,91,71,3,1,2,0,Featherweight,M-DEC,3.0,5:00,win
"UFC Fight Night: Vera vs. Cruz  August 13, 2022",a23e63184c65f5b8,Azamat Murzakanov,Devin Clark,1,0,79,14,0,0,0,0,Light Heavyweight,KO/TKO  Punch,3.0,1:18,win
